ID,DB,Dataset_Name,Dataset_Long_Name,Variables,Data_Source,Distributor,Description,Climatology,Acknowledgement,Doc_URL,Icon_URL,Contact_Email,Dataset_Version,Dataset_Release_Date,Dataset_History
25,Opedia,HOT_Macrozooplankton,Zooplankton Community Structure HOT,,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"Mesozooplankton (weak swimmers 0.2-20 mm size) are collected using oblique tows of a 1-m2 net (202-µm mesh netting) from the surface to approximately 175 m depth. The catch is size fractionated by washing through a nested set of net filters and each fraction analyzed for dry weight, C and N.",False,,https://cmap.readthedocs.io/en/latest/catalog/datasets/HOT_Macrozooplankton.html#hot-macrozooplankton,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/HOT_logo.png,,,,
206,Opedia,HOT221_247_14C_PP_EOC,Time-series rates of dissolved organic carbon production in the subtropical North Pacific Ocean,,"Matthew  Church, Univ Montana",,"Over a 3-year period (April 2010-April 2013), we measured 14C-DOC production from vertical profiles used for determination of 14C-particle production, utilizing 0.2 mm filtrates. Seawater for these experiments was collected from predawn CTD hydrocasts into acid-cleaned 500-ml polycarbonate bottles. A total of four replicate 500 ml bottles were subsampled per depth and each bottle was spiked with ~1.85 MBq 14C-bicarbonate. One hundred milliliters from one replicate per depth was vacuum filtered through a 0.2 mm polycarbonate filter and the filtrate served as a time zero blank. The remaining three bottles were hung on a free-drifting array, deployed before dawn, and incubated at their initial collection depths throughout the photoperiod (typically 11-13 hours). After sunset the array was recovered, and 100 ml subsamples of all bottles were filtered under gentle vacuum (<50 mm Hg) onto 0.2 mm polycarbonate filters. These 0.2 mm filtrates were stored frozen (-20oC) until subsequent processing for determination of 14C-DOC productivity. Samples were processed as follows: 100 ml of the 14C-PC filtrates were thawed, poured into 500 ml polyethylene separatory funnels, and acidified by the addition of 500 µl of 2 M sulfuric acid (H2SO4). Samples were vigorously bubbled with air in a fume hood to remove 14CO2. A 70 ml subsample was removed from each separatory funnel and poured into a 100 ml glass serum bottle containing 1 ml of 2 M sodium hydroxide (NaOH) and 10 ml of 0.37 M potassium persulfate (K2S2O8) in 1 M NaOH. Bottles were sealed with rubber stoppers, crimp sealed with an aluminum cap, and autoclaved at 126°C for 200 minutes; oxidizing 14C-DOC to 14C-DIC in an alkaline solution. Once cooled to room temperature, samples were uncapped and resealed using rubber sleeve stoppers holding plastic center wells containing ~2 x 2 cm pieces of fluted chromatographic filter paper (Whatman 2) soaked with 0.2 ml of ß-phenylethylamine. A syringe was used to inject 4 ml of 9 N H2SO4 into the solution, converting the 14C-labeled dissolved inorganic carbon (hereafter 14C-DIC) to 14CO2. Samples were stored undisturbed at room temperature, passively trapping the 14CO2 on the ß-phenylethylamine soaked wick. After at least 100 hours, rubber sleeve stoppers were removed and center wells and wicks were placed in scintillation vials, followed by the addition of 10 ml of Ultima Gold LLT scintillation cocktail. Samples were subsequently counted on a Perkin Elmer Tri-Carb 2800TR liquid scintillation counter. Rates of 14C-DOC production were computed for each cruise as the mean of the triplicate bottles from each depth minus the average 14C-activity of the time zero (blank) samples.",False,This work was funded by the Simons Foundation through the Simons Collaboration on Ocean Processes and Ecology (SCOPE award #329108 to M.J. Church),,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT221_247_14C_PP_EOC.png,evan.bilbrey@flbs.umt.edu,V1,2020-02-04,
207,Opedia,HOT229_251_leu_incorp,Time series measurements of leucine incorporation as a measure of bacterial production in the subtropical North Pacific Ocean,,"Matthew  Church, Univ Montana",,"Samples were collected at or in the vicinity of Station ALOHA on 24 different cruises. On each cruise, rates of 3H-Leu incorporation into protein were measured. Seawater samples for measurements of production were collected from pre-dawn vertical hydrocasts at 6 discrete depths (5, 25, 45, 75, 100, 125 m) using polyvinyl chloride sampling bottles affixed to a rosette sampler. Polyethylene amber bottles (125 ml capacity) were subsampled from the CTD rosette bottles, and duplicate acid-cleaned 12 ml polycarbonate centrifuge tubes were filled from each depth. Each polycarbonate tube was inoculated with 20 nmol L-1 (final concentration) 3,4,5-3H-leucine. An additional 1.5 ml per depth was subsampled into 2 ml microcentrifuge tubes  containing 100 µl of 100% (w/v) ice-cold trichloroacetic acid (TCA) to serve as a killed blank. The polycarbonate sample tubes were capped and incubated in situ over the photoperiod to measure rates of 3H-Leu incorporation in both dark (through use of black cloth bags) and light on a free-drifting array. At the end of the photoperiod, triplicate 1.5 ml subsamples were removed from each tube and added to 2 ml microcentrifuge tubes containing 100 µl of 100% ice-cold TCA; these tubes were stored frozen until analysis. Samples were processed following a modified method of the microcentrifuge method. ",False,This work was funded by the Simons Foundation through the Simons Collaboration on Ocean Processes and Ecology (SCOPE award #329108 to M.J. Church),,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT229_251_leu_incorp.png,evan.bilbrey@flbs.umt.edu,V1,2020-02-04,
212,Opedia,HOT242_252_14C_PP_0.2_3,Time-series measurements of size fractionated primary production (14C-assimilation) in the subtropical North Pacific Ocean,,"Matthew  Church, Univ Montana",,"Filter size-fractionated (>0.2-3 µm) particulate 14C-based rates of primary production were measured at six discrete depths (5, 25, 45, 75, 100, and 125 m)throughout the euphotic zone. Seawater samples from each depth were subsampled into triplicate 30-mL polycarbonate centrifuge tubes from a pre-dawn cast, inoculated with 70 µL of NaH14CO3-, then incubated over the full photoperiod (~12-14 hours) on a floating in situ array at the corresponding depths where the water was collected. At the end of the incubation period (after sundown), 25 mL of each sample was vacuum-filtered first onto a 25-mm diameter 3-µm pore size polycarbonate membrane, then the filtrate was vacuum-filtered onto a 25-mm diameter 0.2-µm pore size polycarbonate membrane filter.After filtration, each filter was placed into a 20-mL glass scintillation vial and stored at -20°C until analyzed backat the shore-based laboratory. Upon return to shore, vials were uncapped, 1 mL of 2 M hydrochloric acid was added to each filter, and vials were vented for at least 24 hours to remove remaining inorganic 14C. After venting, 10 mL of Ultima Gold liquid scintillation cocktail was added to each vial, and vials were placed in a liquid scintillation counter for the determination of14C activities.",False,This work was funded by the Simons Foundation through the Simons Collaboration on Ocean Processes and Ecology (SCOPE award #329108 to M.J. Church),,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT242_252_14C_PP_02_3.png,evan.bilbrey@flbs.umt.edu,V1,2020-02-04,
214,Opedia,HOT_N2_Fixation,Time-series rates of nitrogen production in the subtropical North Pacific Ocean,,"Matthew  Church, Univ Montana",,"Rates of N2 fixation were measured using the 15N2 isotopic tracer technique.  Whole seawater samples from six discrete depths (5, 25, 45, 75, 100, and 125 m) were subsampled into acid-washed 4.3 L polycarbonate bottles.  Between June 2005 and May 2012, 3 mL of 15N2 gas was injected into each bottle.  Beginning in August 2012, the 15N2 gas was first dissolved into seawater and 100 mL of the resulting 15N2-enriched water was added to 4.3 L polycarbonate sampling bottles. The resulting atom % enrichment of stocks of 15N2-enriched seawater was measured using a membrane inlet mass spectrometer. Incubation bottles amended with the 15N2 tracer were attached to a free-drifting array and incubated at the discrete depths from which samples had been collected. The array was deployed before dawn and samples were incubated at in situ light and temperature for 24 h. After recovery of the array, the entire volume from each bottle was filtered onto a pre-combusted glass microfiber filter (Whatman 25 mm GF/F) and filters were placed onto pre-combusted pieces of foil in Petri dishes and stored frozen at -20°C. Filters were dried for 24 h at 60°C, pelleted, and the total mass of N and its isotopic signature on each filter were analyzed on an elemental analyzer-isotope ratio mass spectrometer (Carlo-Erba EA NC2500 coupled with ThermoFinnigan Delta S).  ",False,This work was funded by the Simons Foundation through the Simons Collaboration on Ocean Processes and Ecology (SCOPE award #329108 to M.J. Church),,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT_N2_Fixation.png,evan.bilbrey@flbs.umt.edu ,V1,2020-02-04,
216,Opedia,HOT242_252_14C_PP_WSW_group_sort,Time series measurements of group-specific picophytoplankton primary production,,"Matthew  Church, Univ Montana",,"14C-based primary production by Prochlorococcus, Synechococcus, and photosynthetic picoeukaryotes were measured at six discrete depths (5, 25, 45, 75, 100, and 125 m)at Station ALOHA. Seawater samples from each depth were subsampled into triplicate 30-mL polycarbonate centrifuge tubes (Nalgene™ Oak Ridge) from a pre-dawn cast, inoculated under subdued light with 70 µL of NaH14CO3-, then incubated over the full photoperiod (~12-14 hours). At the end of the incubation period (after sundown), 5 mL of each radiolabeled sample was preserved in cryotubes containing 30 µL of 16% (final concentration 0.24% w/v) microscopy-grade paraformaldehyde, flash-frozen in liquid nitrogen, and stored at -80°C for subsequent flow cytometric sorting. Group-specific rates of 14C-assimilation by Prochlorococcus, Synechococcus, and PPE were determined by measuring the amount of 14C assimilated into populations sorted using the BD Influx (100-µm nozzle tip, 1X BioSure® sheath solution). Calibration of the # of cells sorted was conducted at the beginning of each sorting session; a known number of fluorescent microspherical beads (1 µm, Fluoresbrite, Polysciences) were gated through the data acquisition software Spigot, sorted onto a slide, and checked for accuracy by microscopy. Beads were included with the samples for size reference, and 0.2 x 103 to 4 x 103 beads were sorted for the determination of background levels of radioactivity (both organic 14C in the seawater and 14C absorbed to the beads). Picophytoplankton cells were triggered on forward scatter (FSC) and enumerated based on FSC and side scatter, chlorophyll-based red fluorescence (692 ± 20 nm), and phycoerythrin-based orange fluorescence (585 ± 20 nm) following excitation with two lasers, 488 nm (200 mW) and 457 nm (300 mW). For each picophytoplankton group, the number of cells sorted ranged from 25 x 103 to 100 x 103 for Prochlorococcus, 0.1 x 103 to 10 x 103 for Synechococcus, and 0.36 x 103 to 3.5 x 103 for PPE. Linearity between cells sorted and radioactivity was checked regularly. After sorting, 200 µL of 2 M hydrochloric acid was added to each vial containing the cells, and vials were vented for 48 hours, followed by addition of 4 mL of Ultima Gold liquid scintillation cocktail. After 1 hour, the vials were placed in a liquid scintillation counter (Packard TRI-Carb 4640) for the determination of14C activities (30 min count time per sample).The resulting radioactivities were converted to average cell-specific and group-specific 14C-assimilation rates based on total radioactivity added to the incubations.",False,This work was funded by the Simons Foundation through the Simons Collaboration on Ocean Processes and Ecology (SCOPE award #329108 to M.J. Church),,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblHOT242_252_14C_PP_WSW_group_sort.png,evan.bilbrey@flbs.umt.edu,V1,2020-02-04,
218,Opedia,SCOPE_Falkor_CP_Lyase_Activity,SCOPE Falkor 2018 C-P Lyase Enzyme Activity,,Repeta Lab- Woods Hole Oceanographic Institution,,Theses are measurments of C-P Lyase enzyme activity in pmol P L?¹ d?¹.  Samples were collected on the Falkor 2018 cruise from the CTD rosette. Samples were incubated for 24 hr with a fluorescent phosphoante substrate. Samples were extracted and run for enzyme activity at WHOI. ,False,Data was collected under the Simons Collaboration on Ocean Process and Ecology (SCOPE) project and was funded by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblFK180310_C_P_Lyase.png,drepeta@whoi.edu,V1,2020-06-01,
219,Opedia,HOT_297_CP_Lyase_Activity,HOT 297 C-P Lyase Enzyme Activity,,Repeta Lab- Woods Hole Oceanographic Institution,,  Theses are measurments of C-P Lyase enzyme activity in pmol P L^-1 d^-1.  Samples were collected on the 2017 HOT 297 cruise from the CTD rosette. Samples were incubated for 24 hr with a fluorescent phosphoante substrate. Samples were extracted and run for enzyme activity at WHOI. ,False,Data was collected under the Simons Collaboration on Ocean Process and Ecology (SCOPE) project and was funded by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblKM1717_C_P_Lyase.png,drepeta@whoi.edu,V1,2020-06-01,
222,Opedia,HOT_307_CP_Lyase_Activity,HOT 307 C-P Lyase Enzyme Activity,,Repeta Lab- Woods Hole Oceanographic Institution,,Theses are measurments of C-P Lyase enzyme activity in pmol P L?¹ d?¹.  Samples were collected on the 2018 HOT 307 cruise from the CTD rosette. Samples were incubated for 24 hr with a fluorescent phosphoante substrate. Samples were extracted and run for enzyme activity at WHOI. ,False,Data was collected under the Simons Collaboration on Ocean Process and Ecology (SCOPE) project and was funded by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblKM1821_C_P_Lyase.png,drepeta@whoi.edu,V1,2020-06-01,
227,Opedia,HOT_318_CP_Lyase_Activity,HOT 318 C-P Lyase Enzyme Activity,,Repeta Lab- Woods Hole Oceanographic Institution,,Theses are measurments of C-P Lyase enzyme activity in pmol P L?¹ d?¹.  Samples were collected on the 2020 HOT 318 cruise from the CTD rosette. Samples were incubated for 24 hr with a fluorescent phosphoante substrate. Samples were extracted and run for enzyme activity at WHOI. ,False,Data was collected under the Simons Collaboration on Ocean Process and Ecology (SCOPE) project and was funded by the Simons Foundation.,,https://raw.githubusercontent.com/simonscmap/CMAP_Ingestion/master/static/mission_icons/tblKM2001_C_P_Lyase.png,drepeta@whoi.edu,V1,2020-06-01,
