ID,DB,Dataset_ID,Table_Name,Short_Name,Long_Name,Unit,Temporal_Res_ID,Spatial_Res_ID,Temporal_Coverage_Begin,Temporal_Coverage_End,Lat_Coverage_Begin,Lat_Coverage_End,Lon_Coverage_Begin,Lon_Coverage_End,Grid_Mapping,Make_ID,Sensor_ID,Process_ID,Study_Domain_ID,Comment,Visualize,Data_Type
41,Opedia,17,tblPisces_NRT,Si,Mole concentration of Silicate in sea water,umol/L,4,2,,,-89,90,-180,179.5,CRS,2,3,3,4,,True,float
42,Opedia,17,tblPisces_NRT,NO3,Mole concentration of Nitrate in sea water,mmol/m^3,4,2,,,-89,90,-180,179.5,CRS,2,3,3,4,,True,float
43,Opedia,17,tblPisces_NRT,CHL,Mass concentration of Chlorophyll in sea water,mg/m^3,4,2,,,-89,90,-180,179.5,CRS,2,3,3,4,,True,float
44,Opedia,17,tblPisces_NRT,PHYC,Mole concentration of Phytoplankton expressed as carbon in sea water,mmol/m^3,4,2,,,-89,90,-180,179.5,CRS,2,3,3,4,,True,float
45,Opedia,17,tblPisces_NRT,PO4,Mole concentration of Phosphate in sea water,mmol/m^3,4,2,,,-89,90,-180,179.5,CRS,2,3,3,4,,True,float
46,Opedia,17,tblPisces_NRT,O2,Mole Concentration of dissolved Oxygen in sea water,mmol/m^3,4,2,,,-89,90,-180,179.5,CRS,2,3,3,4,,True,float
335,Opedia,28,tblHOT_Bottle,ph_bottle_hot,Bottle pH,,7,1,,,,,,,,1,2,2,4,,True,float
449,Opedia,29,tblArgoMerge_REP,argo_merge_ph,pH,,7,1,,,,,,,,1,8,2,4,,True,float
450,Opedia,29,tblArgoMerge_REP,argo_merge_ph_adj,Adjusted pH,,7,1,,,,,,,,1,8,2,4,,True,float
451,Opedia,29,tblArgoMerge_REP,argo_merge_ph_adj_err,Adjusted pH Error,,7,1,,,,,,,,1,8,2,4,,True,float
558,Opedia,58,tblSSS_NRT,sss,Sea Surface Salinity ,psu,10,7,,,-90,90,-180,180,CRS,1,1,1,1,,True,float
571,Opedia,64,tblModis_AOD_REP,AOD,Aerosol Optical Depth,,5,8,2002-07-01,2002-07-01,-89.5,89.5,-179.5,179.5,CRS,1,1,2,1,The variable name from the original MODIS dataset was: Deep_Blue_Aerosol_Optical_Depth_Land_Mean_Mean,True,float
976,Opedia,75,tblSingleCellGenomes_Chisholm,project_singleCell,Project Name,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,"The project that the cruise was a part of: CMORE, HOT, BATS, GEOTRACES, or SCOPE",False,nchar
977,Opedia,75,tblSingleCellGenomes_Chisholm,cruise_name_singleCell,Cruise name,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,,False,nchar
978,Opedia,75,tblSingleCellGenomes_Chisholm,cruise_id_singleCell,UNOLS cruise ID,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,,False,nchar
979,Opedia,75,tblSingleCellGenomes_Chisholm,longhurst_province_singleCell,Four-letter Longhurst (geo)code which refers to geographic regions in oceanography,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,Longhurst code is used here to supplement information on the origins of the sample. There are 56 Longhurst geocodes which represent biogeochemical provinces that partition the pelagic environment. It is assumed that each province represents a unique set of environmental conditions,False,nchar
980,Opedia,75,tblSingleCellGenomes_Chisholm,Sample_Name_singleCell,An identifier or name for the sample,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,,False,nchar
982,Opedia,75,tblSingleCellGenomes_Chisholm,16S_ITS_Assay_Name_singleCell,A unique identifier for the sequences of 16S rRNA and 16S-23S Intergenic Transcribed Spacer (ITS) region assays,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,"If the same sample was assayed multiple times (ie. technical replicates), then each replicate gets a separate row with a unique Assay Name, and the same Sample Name. Polymerase chain reaction (PCR) amplification of target ribosomal RNA genomic regions using group specific primers (bacterial 16S or cyanobacterial ITS) followed by sequencing using the Sanger method.",False,nchar
985,Opedia,75,tblSingleCellGenomes_Chisholm,16S_ITS_Raw_Data_Record_Accession_singleCell,"Accession, ID, or DOI of data archive containing raw data file  for 16S rRNA and 16S-23S ITS sequences",,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,Polymerase chain reaction (PCR) amplification of target ribosomal RNA genomic regions using group specific primers (bacterial 16S or cyanobacterial ITS) followed by sequencing using the Sanger method.,False,nchar
987,Opedia,75,tblSingleCellGenomes_Chisholm,Source_Name_singleCell,Identifier or name for the source that the sample came from; multiple samples may be derived from a single source,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,,False,nchar
988,Opedia,75,tblSingleCellGenomes_Chisholm,organism_singleCell,Type of organism,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,,False,nchar
989,Opedia,75,tblSingleCellGenomes_Chisholm,geographical_location_singleCell,Ocean Name of Sample,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,,False,nchar
995,Opedia,75,tblSingleCellGenomes_Chisholm,Sample_Type_singleCell,Sample type: single cell,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,,False,nchar
997,Opedia,75,tblSingleCellGenomes_Chisholm,16S_ITS_Raw_Data_File_singleCell,File name describing raw data file produced by 16S rRNA and 16S-23S ITS region sequencing methods,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,The raw data file name listed here matches the file name of the raw data file archived to the data repository. Polymerase chain reaction (PCR) amplification of target ribosomal RNA genomic regions using group specific primers (bacterial 16S or cyanobacterial ITS) followed by sequencing using the Sanger method.,False,nchar
998,Opedia,75,tblSingleCellGenomes_Chisholm,16S_ITS_Raw_Data_Repository_singleCell,Name of the repository hosting raw data file for 16S rRNA and 16S-23S ITS sequences,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,Polymerase chain reaction (PCR) amplification of target ribosomal RNA genomic regions using group specific primers (bacterial 16S or cyanobacterial ITS) followed by sequencing using the Sanger method.,False,nchar
1000,Opedia,75,tblSingleCellGenomes_Chisholm,Genome_Sequencing_or_Annotation_Assay_Name_singleCell,A unique identifier for the genome sequencing or genome annotation assays,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,"If the same sample was assayed multiple times (ie. technical replicates), then each replicate gets a separate row with a unique Assay Name, and the same Sample Name. Library Preparation: Illumina Nextera XT followed by size selection (500 +/- 50 bp); Sequencing: Paired-end 150+150 nt on Illumina NextSeq 500; Whole genome assembly using SPAdes 3.0.0; Genome annotation using IMG Annotation Pipeline version 4",False,nchar
1001,Opedia,75,tblSingleCellGenomes_Chisholm,Genome_Sequencing_Raw_Data_File_singleCell,A file name describing the raw data file produced by the genome sequencing methods,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,The raw data file name listed here matches the file name of the raw data file archived to the data repository. Library Preparation: Illumina Nextera XT followed by size selection (500 +/- 50 bp); Sequencing: Paired-end 150+150 nt on Illumina NextSeq 500; Whole genome assembly using SPAdes 3.0.0; Genome annotation using IMG Annotation Pipeline version 4,False,nchar
1002,Opedia,75,tblSingleCellGenomes_Chisholm,Genome_Sequencing_Raw_Data_Repository_singleCell,The name of the repository hosting the genome sequencing raw data file,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,Library Preparation: Illumina Nextera XT followed by size selection (500 +/- 50 bp); Sequencing: Paired-end 150+150 nt on Illumina NextSeq 500; Whole genome assembly using SPAdes 3.0.0; Genome annotation using IMG Annotation Pipeline version 4,False,nchar
1003,Opedia,75,tblSingleCellGenomes_Chisholm,Genome_Sequencing_Raw_Data_Record_Accession_singleCell,"Accession, ID, or DOI of the data archive that contains the genome sequencing raw data file",,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,Library Preparation: Illumina Nextera XT followed by size selection (500 +/- 50 bp); Sequencing: Paired-end 150+150 nt on Illumina NextSeq 500; Whole genome assembly using SPAdes 3.0.0; Genome annotation using IMG Annotation Pipeline version 4,False,nchar
1004,Opedia,75,tblSingleCellGenomes_Chisholm,Genome_Sequencing_Derived_Data_File_singleCell,A file name describing the derived data file produced by the genome sequencing methods,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,The derived data file name listed here matches the file name of the derived data file archived to the data repository. Library Preparation: Illumina Nextera XT followed by size selection (500 +/- 50 bp); Sequencing: Paired-end 150+150 nt on Illumina NextSeq 500; Whole genome assembly using SPAdes 3.0.0; Genome annotation using IMG Annotation Pipeline version 4,False,nchar
1005,Opedia,75,tblSingleCellGenomes_Chisholm,Genome_Sequencing_Derived_Data_Repository_singleCell,The name of the repository hosting the genome sequencing derived data file,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,Library Preparation: Illumina Nextera XT followed by size selection (500 +/- 50 bp); Sequencing: Paired-end 150+150 nt on Illumina NextSeq 500; Whole genome assembly using SPAdes 3.0.0; Genome annotation using IMG Annotation Pipeline version 4,False,nchar
1006,Opedia,75,tblSingleCellGenomes_Chisholm,Genome_Sequencing_Derived_Data_Record_Accession_singleCell,"Accession, ID, or DOI of data archive containing genome sequencing derived data file",,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,Library Preparation: Illumina Nextera XT followed by size selection (500 +/- 50 bp); Sequencing: Paired-end 150+150 nt on Illumina NextSeq 500; Whole genome assembly using SPAdes 3.0.0; Genome annotation using IMG Annotation Pipeline version 4,False,nchar
1007,Opedia,75,tblSingleCellGenomes_Chisholm,Genome_Annotation_Derived_Data_File_singleCell,A file name describing the derived data file produced by the genome annotation methods,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,The derived data file name listed here matches the file name of the derived data file archived to the data repository. Library Preparation: Illumina Nextera XT followed by size selection (500 +/- 50 bp); Sequencing: Paired-end 150+150 nt on Illumina NextSeq 500; Whole genome assembly using SPAdes 3.0.0; Genome annotation using IMG Annotation Pipeline version 4,False,nchar
1008,Opedia,75,tblSingleCellGenomes_Chisholm,Genome_Annotation_Derived_Data_Repository_singleCell,The name of the repository hosting the genome annotation derived data file,,7,1,2009-07-14,2016-04-27,-34.98,38.32,-170.0,174.0,,1,2,2,6,Library Preparation: Illumina Nextera XT followed by size selection (500 +/- 50 bp); Sequencing: Paired-end 150+150 nt on Illumina NextSeq 500; Whole genome assembly using SPAdes 3.0.0; Genome annotation using IMG Annotation Pipeline version 4,False,nchar
